gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,geol_1st_class,glim_1st_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,gauge_lat,gauge_lon,elev_mean,area_gages2,area_geospa_fabric,soil_depth_pelletier,soil_depth_statsgo,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,frac_forest,lai_max,gvf_max,dom_land_cover_frac,dom_land_cover,root_depth_50,root_depth_99,ri_5,ri_10,ri_50,ri_500
1484100,0.996853,0.300142,1.404818,0.708419,1.303015,0.152231,2.365023,2.4,1.454545,27.85,13.925,0,175.6,7,1,0,0.22,-13,3.321273,2.602614,0.086187,0.042572,0.78362,23.45,1.208763,1,256.9,4.36163,4,38.90578,-75.51275,17.97,9,9.66,49.555556,1.5,0.539999,58.691647,14.647005,13.866636,0,0,13.00564,0.3605,2.100865,0.706893,1,3,0.18,1.5,94,133,212,381
9034900,1.637315,0.633095,1.041599,0.523481,1.032943,0.109431,8.598189,57,26.511628,171.4,83.609756,0,260.85,2,1,0,0.01,-14.1,2.586208,2.998558,-0.244252,0.725794,1.159442,13.1,1.386243,1,234.65,4.730847,3,39.76026,-105.9064,3571.18,15.65,21.4,0.472222,1.5,0.32,28.466667,18.4,6.666667,0,0,46.666666,0.2933,0.990781,0.394375,1,5,0.12,1.5,175,195,247,305
8271000,1.128969,0.666433,1.080236,0.692206,1.657163,0.245943,4.136317,9.05,13.923077,10.75,6.71875,0,234.65,14,0.697292,0,0.0425,-13.8495,1.694048,4.027346,0.296087,0.484002,2.37735,28,1.505376,1,287.5,7.486979,4,36.50836,-105.53084,2722.86,43.77,46.39,0.569444,1.5,0.691616,31.008897,43.405684,25.625429,0,0,0,0.654,1.553788,0.544136,0.905041,5,0.124748,1.528488,190,219,326,453
4105700,1.072899,0.38312,0.916275,0.814047,-0.023819,0.549007,1.871615,0,0,0,0,0,173.7,1,0.760538,0,0.1634,-15.6936,2.800427,2.325367,0.228083,0.154579,0.830362,19.4,1.223975,1,232.9,3.846408,3,42.35337,-85.35389,277.91,98.04,100.88,30.946108,1.5,0.624521,64.043219,23.131611,12.867551,0,0,0,0.6706,2.550398,0.718221,0.996516,3,0.180035,1.501742,179,226,283,415
10249300,0.331079,0.513647,0.802938,0.630474,1.406305,0.045812,1.41336,21.95,20.904762,50.85,15.646154,0,222.85,7,0.636768,0.002454,0.1677,-13.0643,0.644565,3.35684,-0.258083,0.312695,5.207913,29.65,1.572944,1,320.35,12.788423,3,38.88743,-117.24537,2256.43,50.2,609,11.834951,1.066932,0.149919,23.139236,13.952721,9.054379,0,0,53.883383,0.062,0.405882,0.184262,0.857454,5,0.131403,1.728041,94,112,285,631
9066000,1.222148,0.538535,0.47991,0.502968,1.694216,0.150977,6.869435,44.5,35.6,119.25,19.390244,0,245.8,1,0.674766,0,0.1965,-12.9834,2.269395,3.472258,-0.249203,0.682273,1.530037,12.35,1.320856,1,234.9,4.909091,3,39.59638,-106.26503,3405.13,32.41,32.63,0.5,1.5,0.530194,45.44575,25.697946,16.80808,0,0,12.000609,0.7706,1.66792,0.582191,0.84957,5,0.127522,1.545129,272,322,405,495
9066200,1.717065,0.647893,0.858187,0.503169,1.066786,0.11701,9.391203,58.65,27.27907,180.4,40.539326,0,248.85,2,0.592264,0.031718,0.0948,-13.4797,2.65023,3.705613,-0.29397,0.712216,1.398223,14.6,1.397129,1,239.75,4.828802,3,39.64832,-106.32308,3071.97,16.1,16.12,0.266667,1.5,0.45245,43.38301,23.855661,8.211912,0,0,24.59174,0.6686,1.607435,0.528071,0.991216,5,0.120439,1.502635,210,267,368,537
1118300,2.129575,0.546405,2.217869,0.559172,0.382857,0.059039,6.612366,3.5,1.372549,89.5,11.776316,0,155.4,2,0.759567,0,0.01,-14.1,3.897431,2.310037,-0.037743,0.111232,0.592708,21.5,1.295181,1,244.6,4,3,41.47482,-71.83424,36.7,10.36,13.71,12.92,1.5,0.591763,60.607842,28.750447,9.273388,0,0,1.372899,0.933,5.582121,0.911302,1,2,0.19,2,236,282,412,660
1486000,1.254533,0.383132,1.778185,0.52055,1.517864,0.083157,4.157865,8.4,1.826087,92.55,19.082474,0,161.65,7,1,0,0.28,-10.9,3.274416,2.674828,0.096185,0.030601,0.816887,22.8,1.22252,1,258.05,4.399829,4,38.21389,-75.67139,10.21,11.18,15.99,46.444444,1.5,0.530783,42.111601,28.633006,11.879451,0,0,17.238038,0.8888,5.070659,0.844506,0.959261,1,0.247148,2.363335,296,336,534,880
8267500,0.879732,0.524049,1.050582,0.692315,2.452094,0.203331,3.304122,12.2,13.555556,7.5,3.061224,0,234.65,14,0.450871,0,0.0676,-13.3318,1.678719,3.557413,0.294763,0.471388,2.119124,26.9,1.469945,1,285.05,7.171069,4,36.54169,-105.5564,3006.6,96.26,96.83,0.496644,1.5,0.711039,23.426653,49.177349,27.302816,0,0,0.093182,0.7348,1.649668,0.587628,0.609457,11,0.150473,1.682837,279,348,547,863
9035900,1.1345,0.475192,0.717729,0.611369,1.287822,0.235118,5.206195,29.65,17.441176,14.6,16.222222,0,253.4,3,0.808648,0,0.0211,-14.0417,2.387454,3.434854,-0.228658,0.689824,1.43871,13.1,1.316583,1,231.2,4.703967,3,39.79582,-106.03057,3240.75,72.84,71.67,0.564103,1.5,0.403339,37.729054,21.893015,7.689008,0,0,32.793093,0.6008,1.452675,0.531989,0.70239,5,0.13488,1.589283,414,469,603,755
7083000,1.190175,0.571181,1.27127,0.597458,1.319386,0.120799,5.315141,37.2,13.052632,127.25,45.446429,0,260.4,3,0.503877,0,0.0668,-13.7463,2.083708,2.843018,-0.167234,0.7106,1.364403,16.1,1.376068,1,248.25,5.204403,3,39.17221,-106.38919,3457.46,60.76,66.28,1.25,1.095867,0.354164,37.106713,22.792526,10.571186,0,0,29.476075,0.3563,0.788785,0.327624,1,5,0.12,1.5,350,429,560,742
12073500,1.69769,0.42342,0.919668,0.655809,1.62103,0.549582,4.996198,7.5,2.5,0,0,0,134.3,1,0.736549,0,0.1979,-14.6204,4.00947,2.856259,-0.84899,0.015602,0.712378,16.2,1.714286,1,207.6,4.907801,3,47.38926,-122.69902,42.92,15.67,15.82,16.645161,1.5,0.32,30.333333,16.8,6.266667,0,0,46.666666,1,3.874635,0.859943,0.943642,1,0.245491,2.366185,240,381,607,1097
10172700,0.11813,0.085274,0.89747,0.875909,1.031798,0.04898,0.241404,1.2,2.666667,0.05,1,0,187.3,7,0.555235,0.043958,0.2116,-12.9729,1.385296,2.895458,-0.466426,0.411636,2.090136,26.6,1.453552,1,293.55,7.880537,3,39.97939,-112.38023,1853.47,69.93,259.82,4.272289,0.763025,0.32562,36.294958,30.803027,13.434413,0,0,0,0.0017,0.679387,0.312053,0.999997,5,0.12,1.500001,71,95,366,1382
10205030,0.251824,0.152966,0.874908,0.702348,1.613689,0.079977,0.817949,6.4,7.111111,0.9,9,0,229.8,1,0.524117,0.46037,0.1306,-13.6006,1.646278,4.057639,-0.338402,0.582536,2.464735,23.65,1.268097,1,274.95,6.665455,3,38.91191,-111.53047,2489.29,134.6,150.92,0.668085,1.28128,0.573164,38.624202,32.088683,29.196373,0,0,0,0.0326,1.461839,0.527,0.852067,5,0.131564,1.71501,264,490,725,1362
2102908,1.346296,0.401272,1.032711,0.72982,0.495562,0.44641,2.976068,1,1.111111,2.45,4.083333,0,167.2,7,0.984698,0,0.2786,-10.9658,3.355068,3.019714,0.17119,0.023511,0.900046,23.7,1.264,1,263.9,4.811304,4,35.18278,-79.1775,106.88,19.73,20.06,1,1.5,0.603,71,13.666667,15.333333,0,0,0,0.6906,3.022998,0.682362,0.788303,10,0.179053,1.848188,245,346,629,1283
1139800,1.811683,0.548411,1.543569,0.607173,1.747615,0.246804,5.579909,2.15,1.869565,37.25,7.163462,0,190.2,4,1,1,0.06,-11.8,3.303515,2.127185,0.225579,0.262329,0.643916,19.45,1.164671,1,225.55,3.278343,2,44.09284,-72.33565,518.15,22.8,24.92,2.510638,1.230223,0.517911,45.314805,41.821044,13.098176,0,0,0,1,5.213126,0.899033,1,2,0.19,2,434,566,779,1192
2235200,0.492074,0.131447,1.720737,0.656615,2.406978,0.034517,1.799799,14.75,14.75,90.1,50.055556,0,183.25,7,1,0,0.22,-13,3.743502,4.124213,0.601373,0,1.101699,20.1,1.326733,1,249.75,5.708571,2,28.87453,-81.48938,26.25,297.7,300.67,38.94335,1.5,0.751752,77.35429,4.52026,2.889196,3.958772,14.54264,0,0.6142,2.871105,0.663278,0.924496,10,0.16671,1.75226,477,676,914,1347
6311000,0.609807,0.418661,0.675098,0.518766,1.50773,0.067927,3.116657,44,14.666667,147.2,36.8,0,239,3,0.79021,0.019788,0.0442,-14.2821,1.456565,2.441524,0.269035,0.573828,1.67622,23.65,1.468944,1,279.25,6.547479,3,44.02774,-107.08089,2515.87,61.23,62.96,0.897196,0.838462,0.257376,42.225156,20.939619,12.826096,0,0,23.888985,0.3219,1.392359,0.526203,1,5,0.12,1.5,393,423,683,971
9065500,1.921686,0.747626,0.888422,0.529511,1.445633,0.142469,9.972807,55.55,27.775,164.1,51.28125,0,253.65,2,0.975723,0,0.0163,-14.0614,2.570383,3.719378,-0.279663,0.715531,1.447013,11.65,1.331429,1,237.3,4.918135,3,39.62582,-106.27808,3350.1,37.78,37.81,0.403226,1.5,0.43963,41.557143,23.249955,8.501329,0,0,26.749306,0.8324,1.286132,0.463035,0.824512,5,0.128774,1.552646,506,568,792,1088
1542810,1.599205,0.467258,1.66786,0.386466,1.419626,0.041315,6.287088,18.55,2.348101,119.45,14.656442,0,157.8,1,1,0,0.1953,-15.0206,3.422528,2.268753,0.176183,0.189716,0.662888,15.85,1.112281,1,207.3,2.984881,3,41.57895,-78.29251,492.7,13.62,13.58,0.96,1.5,0.670674,31.018126,52.40066,16.591465,0,0,0,1,5.26609,0.900412,1,2,0.19,2,306,412,698,1277
8377900,0.635229,0.310958,1.150075,0.540694,1.800417,0.077429,2.727607,21.9,13.272727,74.7,12.554622,0,237.45,8,0.402551,0.201264,0.0976,-14.0443,2.042815,3.059942,0.324675,0.466213,1.497905,25.95,1.508721,1,283.65,7.890125,4,35.77725,-105.65807,3017.75,139.03,139.08,0.850962,1.5,0.57042,33.960562,29.603541,23.433767,0,0,13.022525,0.9747,1.911329,0.641246,0.968191,11,0.16841,1.790457,395,641,889,1442
9210500,0.375007,0.2712,0.893422,0.680548,1.730503,0.092136,1.455747,13.05,10.038462,4.35,4.142857,0,229.4,1,0.543918,0.046048,0.1751,-14.7974,1.382767,2.629683,-0.456188,0.654725,1.901755,21.95,1.338415,1,266.5,5.909091,3,42.09605,-110.41656,2441.13,398.31,398.5,0.970497,0.800399,0.29107,33.81894,36.457343,14.538093,0,0,15.480434,0.2624,1.078246,0.421652,0.951956,5,0.122402,1.514413,683,749,1063,1422
9312600,0.273065,0.172379,0.648421,0.505896,3.585494,0.021297,1.315431,40.85,24.757576,163,28.347826,0.003422,217.55,8,0.891047,0,0.1289,-16.2648,1.584096,3.755034,-0.467531,0.604726,2.370459,22.05,1.386792,1,270.8,6.517449,3,39.87579,-111.03739,2434.67,195.29,198.56,0.871383,0.918582,0.404548,39.370233,36.964577,23.858405,0,0,0,0.0454,1.631322,0.551639,0.844737,5,0.129316,1.5,390,444,973,1758
3357350,1.181482,0.366902,1.408851,0.323202,1.556128,0,4.103933,24.65,2.088983,152.05,17.680233,0.105544,167.1,8,0.918498,0.081502,0.1151,-16.1169,3.220156,2.529923,0.192942,0.070238,0.785652,22.6,1.167959,1,253.55,4.183993,4,39.76171,-86.72945,258.64,7.75,26.11,41.022222,1.5,0.672372,28.806862,45.556628,25.530649,0,0,0,0.4476,2.291331,0.73455,0.63604,4,0.18,1.5,650,772,1060,1523
10316500,1.688926,0.763523,0.684407,0.511318,1.689118,0.109526,9.253026,65.65,41.03125,207.5,59.285714,0,245.85,4,0.913144,0.913144,0.1125,-12.1935,2.212016,3.422652,-0.545403,0.750536,1.547299,27.4,1.645646,1,288.4,8.158416,3,40.69076,-115.477,2490.13,64.78,90.88,0.405229,0.800022,0.346754,42.901932,35.667776,21.764635,0,0,0.00232,0.0123,0.99093,0.393197,1,5,0.12,1.5,679,762,999,1382
10343500,0.952035,0.370746,0.931101,0.589456,1.888611,0.132966,4.16627,28.45,14.973684,77.4,29.207547,0,208.55,11,0.584213,0,0.1441,-12.7079,2.567892,2.825938,-1.132976,0.714981,1.10049,23.7,1.802281,1,289.35,10.408273,3,39.43157,-120.23798,2156.91,27.6,27.34,1.195652,1,0.41029,50.854533,34.115065,14.830129,0,0,0,0.899,2.072296,0.668534,1,11,0.17,1.8,269,444,888,2187
8269000,0.403643,0.261167,0.877477,0.624502,1.933779,0.059939,1.738242,22.85,14.741935,45.9,9.367347,0,220.6,8,0.821486,0,0.1655,-14.9532,1.545537,3.793537,0.350035,0.401646,2.45451,28.15,1.469974,1,286.95,7.492167,4,36.43947,-105.50362,2791.36,163.27,163.28,0.63786,1.457657,0.666993,28.429472,42.181821,27.881812,0,0,1.512257,0.7622,2.067328,0.661588,0.920753,11,0.166038,1.776226,346,491,886,1599
6409000,0.181761,0.104855,1.291234,0.866768,1.32429,0.073875,0.393206,0.2,1.333333,0.1,1,0,205,4,0.764988,0.764988,0.0789,-12.5115,1.733443,2.602917,0.561712,0.343337,1.501588,22.85,1.437107,1,270.4,5.840173,1,44.01359,-103.83048,1960.28,205.33,209.41,0.968481,1.5,0.650476,27.120388,39.594932,27.204909,0,0,5.970319,0.7952,2.395057,0.690629,0.825549,11,0.174104,1.778003,119,220,527,1640
10234500,0.47744,0.268353,0.853857,0.701975,1.887009,0.155226,1.541916,10.25,15.769231,0,0,0,233,13,0.70955,0,0.1403,-12.904,1.779151,3.672391,-0.307748,0.63207,2.064125,26.9,1.434667,1,288.2,7.594203,3,38.28053,-112.56827,2498.74,236.42,238.37,0.603878,1.493876,0.636697,44.358175,35.766695,19.57412,0,0,0.340116,0.3513,1.545013,0.557827,0.564948,11,0.151903,1.685514,658,765,1243,1967
9404450,0.178419,0.132117,1.227472,0.780084,1.311828,0.057056,0.405734,3.75,10.714286,0,0,0,161.65,4,0.522448,0.522448,0.1053,-13.6472,1.35046,3.862233,-0.416732,0.4236,2.859939,26.9,1.60119,1,302.35,9.448438,3,37.33943,-112.60438,2070.41,192.96,195.91,0.816667,0.87412,0.308802,30.91059,28.103369,19.979666,0,0,20.998924,0.3323,1.192104,0.44828,0.661992,4,0.162696,1.504623,360,638,1354,3841
12447390,1.365544,0.533608,0.878397,0.53402,0.866057,0.122118,7.108123,48.8,26.378378,146.5,33.295455,0,241.3,2,1,0,0.01,-14.1,2.559076,2.188394,-0.598365,0.777311,0.85515,18.95,1.572614,1,253.7,5.720406,3,48.82292,-120.14592,1700.98,58.1,58.4,0.472727,1.5,0.642117,45.323361,37.983768,16.705685,0,0,0,0.9643,1.199953,0.489433,0.86008,11,0.163004,1.758024,548,696,1007,1585
6291500,0.491118,0.31438,0.692599,0.634138,0.525626,0.112249,2.020479,16.4,9.371429,11.8,5.756098,0,244.65,4,0.40681,0.40681,0.1249,-13.8996,1.562178,3.104145,0.149456,0.404773,1.987062,22.15,1.565371,1,272.8,6.526316,3,45.12644,-107.60054,2238.49,217.96,220.72,0.837766,0.66448,0.233407,26.015482,32.827796,22.721454,0,0,18.389246,0.5915,1.593926,0.574551,0.97633,5,0.121184,1.507101,570,711,1084,1645
4127997,1.07498,0.425966,0.453026,0.882037,1.126499,0.75834,1.657299,0,0,0,0,0,182.25,8,0.702764,0.173303,0.1117,-15.6474,2.523626,2.88227,0.189064,0.268062,1.142115,16.75,1.236162,1,218,3.606286,3,45.27446,-84.60003,356.97,487.16,504.19,14.507692,1.5,0.535322,63.705087,11.915803,5.449337,0,1.612908,17.308626,0.7608,3.96193,0.820281,0.389388,3,0.205729,1.931696,852,936,1141,1426
1073000,1.703194,0.486207,1.780107,0.501892,2.278789,0.065815,5.784236,7.85,2.211268,96,12.467532,0,168.75,3,0.943375,0,0.01,-14.1,3.503025,2.207616,0.03037,0.175032,0.630203,20.85,1.226471,1,249,4.016129,3,43.1487,-70.96506,37.67,31.3,32.11,19.909091,1.30562,0.510062,56.570961,29.155056,9.967266,0,0,4.244209,0.9008,4.94395,0.841421,0.592432,1,0.22147,2.033189,447,603,969,1649
10173450,0.413635,0.246292,0.867717,0.580574,1.815287,0.030977,1.794866,26.653649,20.5,95.463068,27.666667,0,229.65,11,0.43976,0.024253,0.0916,-12.4998,1.679569,3.06809,-0.411127,0.638429,1.826713,25.7,1.576687,1,287.55,8.359012,3,37.62276,-112.51688,2638.59,268.53,281.68,1.048165,1.318316,0.527605,41.948007,33.168082,19.164621,0,0,5.787649,0.4463,1.030058,0.405446,0.655364,5,0.138341,1.700506,596,697,1094,1583
6447500,0.072083,0.050156,1.244267,0.666652,1.16838,0.019239,0.192385,2.35,2.611111,5.7,10.363636,0,186.75,1,0.576928,0,0.1975,-14.3476,1.437181,2.415819,0.678962,0.155649,1.680942,25.25,1.414566,1,292.45,7.176687,1,43.16667,-101.63015,1040.9,826.61,793.15,36.628086,1.5,0.489663,43.182595,21.407272,8.618264,0,0,26.775476,0,0.991241,0.423203,1,5,0.12,1.5,420,677,1362,3460
4043050,1.248434,0.602347,0.697556,0.547396,0.402167,0.287382,4.43845,13.6,4.610169,7.9,7.52381,0,196.65,5,0.629131,0,0.1271,-13.5013,2.072616,2.18738,0.219574,0.299401,1.055371,19,1.292517,1,236.9,3.896382,2,47.22854,-88.38539,239.41,76.62,76.66,12.576389,1.5,0.622469,70.510153,21.539365,7.419195,0,0.470046,0,0.9769,4.827577,0.877899,0.574872,3,0.208447,1.873868,979,1130,1393,1711
1162500,1.835881,0.485229,1.868461,0.508575,1.153614,0.088591,6.348989,6.45,2.632653,85.15,14.191667,0,168.15,2,0.796053,0,0.01,-14.1,3.783535,2.25749,0.047446,0.226769,0.596662,21.1,1.146739,1,240.45,3.634921,4,42.68259,-72.11508,310.07,49.71,77.93,9.323077,1.5,0.604397,65.486764,25.58957,8.775572,0,0,0,0.9663,5.402682,0.884473,1,1,0.25,2.4,566,683,1253,2324
6622700,1.179925,0.52275,0.40743,0.483847,1.386011,0.180952,6.94064,42.9,23.833333,113.15,10.879808,0,242.4,1,0.449418,0.006001,0.1571,-14.2348,2.25715,3.331294,-0.377663,0.717692,1.475885,14.3,1.259912,1,240.95,4.947639,3,41.37024,-106.52058,2837.34,98.7,101.52,2.2,1.351524,0.528707,51.980186,27.338247,15.662846,0,0,4.908459,0.7496,2.141259,0.676669,0.743937,11,0.157197,1.723181,891,1104,1409,1917
10259000,0.287811,0.274548,1.032214,0.717717,0.897685,0.044661,0.806085,6.55,5.458333,27.5,13.414634,0,150.55,2,0.665794,0,0.0221,-14.0366,1.048308,3.133221,-1.34308,0.033525,2.988836,18.55,1.758294,1,343.55,29.114407,3,33.76002,-116.55002,1233.96,22.46,23.66,0.631579,0.460249,0.086602,24.568883,9.404776,3.38088,0,0,66.57835,0.5081,0.824072,0.368,0.518736,10,0.179251,2.373769,223,519,1503,6484
11180500,0.281479,0.189127,0.119132,0.314548,2.969277,0,1.408391,142,16.511628,267.25,53.45,0.611225,138.3,1,0.857543,0,0.1901,-14.9086,1.488307,2.709378,-1.294202,0,1.820443,26.55,1.758278,1,304.3,12.626556,3,37.60605,-122.02385,47.25,24.32,27.03,5.860465,0.518804,0.229083,29.450927,43.280779,27.292209,0,0,0,0.0556,2.35431,0.678677,0.912436,10,0.161751,1.682487,537,767,2612,5027
4063700,0.663597,0.288441,1.170933,0.623243,1.515744,0.168697,2.132327,4.05,5.785714,3.15,4.2,0,208.3,2,0.663718,0,0.0369,-13.5619,2.300634,2.043434,0.520193,0.211966,0.888205,21.8,1.249284,1,250.1,4.053485,1,45.76357,-88.46318,473.28,362.57,371.32,33.225352,1.5,0.726095,56.38354,21.998531,6.778178,0,14.77239,0,0.9981,5.042135,0.886349,1,1,0.25,2.4,896,1100,1503,2290
3450000,1.898413,0.463638,1.802871,0.592268,1.653875,0.173762,5.039112,2.35,1.62069,57.55,10.369369,0,173.05,3,1,0,0.01,-14.1,4.094606,2.709808,0.064045,0.084269,0.661799,17.55,1.319549,1,240.55,4.265071,4,35.65306,-82.40528,891.9,14.08,14.13,0.954545,1.5,0.63,48.33485,32.800346,18.864724,0,0,0,0.9721,4.721288,0.865359,1,2,0.19,2,477,684,1296,2826
6278300,1.259971,0.651512,0.569918,0.42705,1.553831,0.087303,7.017535,48.25,20.104167,188.8,49.684211,0,248.35,2,0.946108,0,0.0185,-14.0554,1.933919,2.551763,0.043523,0.732862,1.319478,16.85,1.252788,1,255.85,5.291624,3,44.50802,-107.40369,2953.37,58.85,59.23,0.737864,0.817295,0.142164,24.335459,13.399304,6.540469,0,0,66.800206,0.5225,0.869292,0.376742,1,5,0.12,1.5,908,1095,1426,1875
4057800,1.058376,0.42499,1.26956,0.552725,1.078621,0.183699,3.859791,12.85,5.14,30.05,8.838235,0,201.1,3,0.768266,0,0.0358,-14.6509,2.490355,2.05002,0.25792,0.334247,0.823184,17.85,1.243902,1,218.4,3.349693,3,46.4991,-87.88652,476.21,115.87,121.98,9.509009,1.228268,0.470734,27.989638,40.772388,8.89081,0,0.927259,10.44885,1,4.637485,0.867602,1,1,0.25,2.4,869,1184,1682,2685
9223000,0.571646,0.329655,0.688272,0.54948,2.094432,0.05875,2.783287,42.25,18.369565,120.55,17.992537,0,235.65,1,0.579143,0.018854,0.1879,-14.9409,1.734077,2.73531,-0.517346,0.698323,1.577387,19.3,1.321918,1,258.5,5.517609,3,42.11049,-110.70962,2448.68,333.15,333.85,0.778189,0.906809,0.352407,33.469811,36.990524,17.48543,0,0,12.266915,0.433,1.698294,0.592025,0.685326,5,0.13642,1.721413,1103,1271,1852,2537
4057510,0.873568,0.370732,1.308237,0.650659,1.366487,0.249013,2.607917,2.05,3.727273,0.2,4,0,191.25,4,0.757627,0.757627,0.0745,-12.9392,2.356333,2.035944,0.274351,0.253135,0.864031,19.7,1.223602,1,234.3,3.882353,2,45.94302,-86.7057,228.86,473.57,491.76,38.62077,1.5,0.879018,59.892571,4.422178,2.363386,0,33.265581,0,0.9814,4.636695,0.872936,0.999855,1,0.249991,2.399942,1385,1566,1934,2407
